,id,listing_url,name,host_id,host_name,host_location,street,neighbourhood,city,state,zipcode,country,latitude,longitude,is_location_exact,room_type,accommodates,beds,bed_type,price,weekly_price,guests_included,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1149,1544061,https://www.airbnb.com/rooms/1544061,Nice room - Single bed in Vesterbro,3157750,Rikke,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Kødbyen,Copenhagen,Capital region of denmark,1700,Denmark,55.669309999999996,12.56011,t,Private room,1,1.0,Real Bed,422.0,-1.0,1,5,9,t,0,54,0,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1150,1546617,https://www.airbnb.com/rooms/1546617,Nice flat -central and popular area,8242089,Kasia,"Copenhagen, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Islands Brygge,Copenhagen,Capital region of denmark,2300,Denmark,55.66138,12.58375,t,Private room,1,1.0,Real Bed,382.0,4950.0,1,5,21,t,0,23,0,97.0,10.0,10.0,10.0,10.0,10.0,9.0
1151,1554769,https://www.airbnb.com/rooms/1554769,Sleep in my Home Copenhagen City R3,1386103,Angelina,"Copenhagen, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Amager Vest,Copenhagen,Capital region of denmark,2300,Denmark,55.6503,12.61128,t,Shared room,2,1.0,Airbed,864.0,-1.0,1,1,1125,t,359,1,0,60.0,4.0,10.0,4.0,6.0,6.0,6.0
1153,1557373,https://www.airbnb.com/rooms/1557373,Wonderful room - VERY CENTRAL!,8290269,Vicktor + Alina,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Indre By,Copenhagen,Capital region of denmark,1165,Denmark,55.68186,12.57254,t,Private room,2,1.0,Real Bed,623.0,-1.0,1,3,10,t,98,375,85,95.0,10.0,9.0,10.0,10.0,10.0,9.0
1154,1558401,https://www.airbnb.com/rooms/1558401,Luxury in Historical City Center,8295312,Benjamin,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Indre By,Copenhagen,Capital region of denmark,1207,Denmark,55.676390000000005,12.57819,t,Entire home/apt,4,3.0,Real Bed,998.0,10000.0,1,4,120,t,85,63,7,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1155,1559132,https://www.airbnb.com/rooms/1559132,apartment in copenhagen,8298458,Hans Og Annabell,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Vesterbro,Copenhagen,Capital region of denmark,1718,Denmark,55.667680000000004,12.555660000000001,f,Entire home/apt,4,2.0,Real Bed,1005.0,-1.0,2,3,1125,t,0,20,1,92.0,10.0,9.0,10.0,9.0,10.0,10.0
1156,1560724,https://www.airbnb.com/rooms/1560724,Light and cosy rooftop apartment,1231006,Grethe,"Copenhagen, Capital Region of Denmark, Denmark","Frederiksberg, Capital Region of Denmark, Denmark",Frederiksberg,Frederiksberg,Capital region of denmark,1964,Denmark,55.68348,12.5488,t,Entire home/apt,2,2.0,Futon,797.0,-1.0,2,4,1125,t,214,73,14,96.0,10.0,10.0,10.0,10.0,10.0,10.0
1158,1562840,https://www.airbnb.com/rooms/1562840,Downtown duplex penthouse,112673,Marco,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Amager,Copenhagen,Capital region of denmark,2300,Denmark,55.667019999999994,12.58383,f,Entire home/apt,4,4.0,Real Bed,3317.0,-1.0,1,3,1125,t,344,49,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1159,1563229,https://www.airbnb.com/rooms/1563229,Private room at Nørrebro with bikes'n'breakfast #2,8317767,Niels,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen N, Capital Region of Denmark, Denmark",Nørrebro,Copenhagen n,Capital region of denmark,2200,Denmark,55.6997,12.53774,t,Private room,2,1.0,Real Bed,449.0,1800.0,1,3,1124,t,0,31,0,99.0,10.0,10.0,10.0,10.0,9.0,10.0
1160,1563269,https://www.airbnb.com/rooms/1563269,Amazing location two room apartment,8317912,Julie Friis,"Copenhagen, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Indre By,Copenhagen,Capital region of denmark,1360,Denmark,55.68541,12.57093,t,Entire home/apt,2,1.0,Real Bed,898.0,-1.0,2,4,7,t,0,29,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0
